distance covered,degrees from top of map,rad,currX,currY
0.0,-123.260578507,0,7065.0,1787.0
0.0,-123.260540365,0,7065.0,1787.0
0.0,-123.260502172,0,7065.0,1787.0
0.0,-123.260463927,0,7065.0,1787.0
0.0,-123.26042563,0,7065.0,1787.0
0.0,-123.260387282,0,7065.0,1787.0
0.0,-123.260348883,0,7065.0,1787.0
0.0,-123.260310431,0,7065.0,1787.0
0.0,-123.260271929,0,7065.0,1787.0
0.0,-123.260233374,0,7065.0,1787.0
0.0,-123.260194768,0,7065.0,1787.0
0.0,-123.260156111,0,7065.0,1787.0
0.0,-123.260117402,0,7065.0,1787.0
0.0,-123.260078641,0,7065.0,1787.0
0.0,-123.260039829,0,7065.0,1787.0
0.0,-123.260000965,0,7065.0,1787.0
0.0,-123.25996205,0,7065.0,1787.0
0.0,-123.259923083,0,7065.0,1787.0
0.0,-123.259884065,0,7065.0,1787.0
0.0,-123.259844995,0,7065.0,1787.0
0.0,-123.259805873,0,7065.0,1787.0
0.0,-123.2597667,0,7065.0,1787.0
0.0,-123.259727475,0,7065.0,1787.0
0.0,-123.259688199,0,7065.0,1787.0
0.0,-123.259648871,0,7065.0,1787.0
0.0,-123.259609492,0,7065.0,1787.0
0.0,-123.259570061,0,7065.0,1787.0
0.0,-123.259530578,0,7065.0,1787.0
0.0,-123.259491044,0,7065.0,1787.0
0.0,-123.259451459,0,7065.0,1787.0
0.0,-123.259411822,0,7065.0,1787.0
0.0,-123.259372133,0,7065.0,1787.0
distance covered,degrees from top of map,rad,currX,currY
0.0,-122.630158537,0,7065.0,1787.0
0.0,-122.912667829,0,7065.0,1787.0
0.0,-123.048201008,0,7065.0,1787.0
0.0,-123.10663469,0,7065.0,1787.0
distance covered,degrees from top of map,rad,currX,currY
0.0,-0.0780365555928,0,7065.0,1787.0
0.0,0.114079044647,0,7065.0,1787.0
0.0,0.131312426228,0,7065.0,1787.0
0.0,0.176707442314,0,7065.0,1787.0
0.0,-0.0381917875915,0,7065.0,1787.0
0.0,0.0742926643287,0,7065.0,1787.0
0.0,-0.0548144749278,0,7065.0,1787.0
0.0,-0.0171709741019,0,7065.0,1787.0
0.0,0.0647992592436,0,7065.0,1787.0
0.0,0.0754603932413,0,7065.0,1787.0
0.0,-0.0527170023481,0,7065.0,1787.0
0.0,-0.0314623785454,0,7065.0,1787.0
0.0,0.128790200989,0,7065.0,1787.0
0.0,0.0121781183242,0,7065.0,1787.0
0.0,0.134702349528,0,7065.0,1787.0
0.0,0.109601763927,0,7065.0,1787.0
0.0,0.111070657985,0,7065.0,1787.0
0.0,0.111664355684,0,7065.0,1787.0
0.0,-0.0489397666086,0,7065.0,1787.0
0.0,0.120710671341,0,7065.0,1787.0
0.0,0.18822118311,0,7065.0,1787.0
0.0,0.0644045928222,0,7065.0,1787.0
0.0,-0.00946619197077,0,7065.0,1787.0
0.0,0.0150619183164,0,7065.0,1787.0
0.0,0.22189655807,0,7065.0,1787.0
0.0,0.22729420181,0,7065.0,1787.0
0.0,0.229811872392,0,7065.0,1787.0
0.0,0.226826954159,0,7065.0,1787.0
0.0,0.22778872073,0,7065.0,1787.0
0.0,0.220395641575,0,7065.0,1787.0
0.0,0.216475130925,0,7065.0,1787.0
0.0,0.214840907709,0,7065.0,1787.0
0.0,0.211843079907,0,7065.0,1787.0
0.0,0.215236817352,0,7065.0,1787.0
0.0,0.227963083702,0,7065.0,1787.0
0.0,0.230146636966,0,7065.0,1787.0
0.0,0.223070083057,0,7065.0,1787.0
0.0,0.221337914451,0,7065.0,1787.0
0.0,0.211497358643,0,7065.0,1787.0
0.0,0.202483735251,0,7065.0,1787.0
0.0,0.198754835658,0,7065.0,1787.0
